Horodateur	Votre université :	Votre classement :	Note à l'UC1 : (avec une virgule et pas un point)	UC1/20	Note à l'UC2 : (avec une virgule et pas un point)	UC2/20	Note à l'UC3 : (avec une virgule et pas un point)	UC3/20	Note à la LCA : (avec une virgule et pas un point)	LCA/20	Votre classement au concours blancs (après l'ensemble des UC d'avril) ?	Note total
30/06/2023 13:29	Rennes	850	78,85	16,6	74,87	15,76	79,63	16,76	38,8	14,92	3000	272,15
30/06/2023 13:29	Reims	3421	68,3	14,38	75,58	15,91	72,57	15,28	38,2	14,69	3361	254,65
30/06/2023 13:30	Dijon	2299	76,05	16,01	79,02	16,64	74,08	15,6	32,2	12,38	1910	261,35
30/06/2023 13:31	Grenoble	6292	69,45	14,62	71,5	15,05	68,93	14,51	26,6	10,23	3803	236,48
30/06/2023 13:30	Bordeaux	2776	79,4	16,72	75,07	15,8	74,2	15,62	29,8	11,46	2100	258,47
30/06/2023 13:31	Kb	7998	64,6	13,6	66,62	14,03	66,15	13,93	21,8	8,38	6000	219,17
30/06/2023 13:31	Saint-Etienne	5141	77,61	16,34	70,57	14,86	56,95	11,99	39,4	15,15	5700	244,53
30/06/2023 13:32	Rennes	3773	69,95	14,73	74,92	15,77	76,02	16	32	12,31	3340	252,89
30/06/2023 13:33	Lyon Sud	938	77,4	16,29	74,57	15,7	81,95	17,25	37,2	14,31	2600	271,12
30/06/2023 13:34	Lyon sud	858	82,55	17,38	77,92	16,4	76,23	16,05	35,4	13,62	4000 (mais sans avoir passé la LCA)	272,1
30/06/2023 13:34	Caen	1218	79,85	16,81	77,07	16,23	73,23	15,42	38,6	14,85	1313	268,75
30/06/2023 13:35	Tours	8700	58,35	12,28	63,72	13,41	59,6	12,55	24,4	9,38	7000	206,07
30/06/2023 13:35	Bordeaux	3521	73	15,37	72,22	15,2	77,9	16,4	31	11,92	9000	254,12
30/06/2023 13:36	Lyon Sud	2326	73,65	15,51	79,35	16,71	75,73	15,94	32,4	12,46	3682	261,13
30/06/2023 13:36	Lille 2	586	82,4	17,35	77,93	16,41	79,23	16,68	35,8	13,77	7400 (1 épreuve non faite)	275,36
30/06/2023 13:37	Grenoble	1242	75,35	15,86	81,07	17,07	77,9	16,4	34,2	13,15	1558	268,52
30/06/2023 13:37	Lille	2678	75,37	15,87	71,85	15,13	73,4	15,45	38,4	14,77	968	259,02
30/06/2023 13:37	Université Européenne	8524	59,95	12,62	60	12,63	61,73	13	28,2	10,85	je n'y ai pas participé	209,88
30/06/2023 13:37	Caen	7056	70,75	14,89	68,75	14,47	65,53	13,8	24,8	9,54	6935	229,83
30/06/2023 13:37	Lille	4876	71,6	15,07	69,43	14,62	70,1	14,76	35	13,46	3775	246,13
30/06/2023 13:38	Marseille	469	79,55	16,75	80,65	16,98	79,95	16,83	36,6	14,08	1252	276,75
30/06/2023 13:39	Nancy	1459	76,5	16,11	79,92	16,83	77,17	16,25	33,4	12,85	687	266,99
30/06/2023 13:39	Amiens	845	80,9	17,03	81,2	17,09	78,12	16,45	32	12,31	Pas présent en avril	272,22
30/06/2023 13:39	Bordeaux	396	83,2	17,52	80,28	16,9	84,37	17,76	30	11,54	586	277,85
30/06/2023 13:40	Brest	1171	76,8	16,17	78,65	16,56	79,9	16,82	33,8	13	2600 environ	269,15
30/06/2023 13:40	Besancon	9019	55,82	11,75	55,15	11,61	60,57	12,75	25,2	9,69	7560	196,74
30/06/2023 13:41	Montpellier	6965	67,78	14,27	63,38	13,34	70,92	14,93	28,6	11	5463	230,68
